Compound_id,pChEMBL Value,smiles,Ligand Efficiency LLE,Ligand Efficiency LE
CHEMBL1086811,6.71,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(Cl)cc2/C1=N/O,3.49,0.37
CHEMBL1088704,7.89,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N/O,5.62,0.43
CHEMBL1091356,,CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,,
CHEMBL1094408,6.8,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,5.22,0.28
CHEMBL1096380,5,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,4.26,0.27
CHEMBL112050,6.36,CN1CCC(c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4)oc23)C(O)C1,3.22,0.31
CHEMBL112582,7.1,CN1CCC(c2c(O)cc(O)c3c(=O)cc(SC(C)(C)C)oc23)C(O)C1,4.23,0.37
CHEMBL114250,4.12,CC(C)Oc1[nH]c(N)nc2ncnc1-2,3.45,0.4
CHEMBL114250,4.12,CC(C)Oc1[nH]c(N)nc2ncnc1-2,3.45,0.4
CHEMBL115498,5.22,Nc1nc(OCC2CC=CCC2)c2[nH]cnc2n1,3.55,0.4
CHEMBL115498,5.22,Nc1nc(OCC2CC=CCC2)c2[nH]cnc2n1,3.55,0.4
CHEMBL1170012,4.6,Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,0.79,0.3
CHEMBL1170818,5.02,NC(=O)c1c(Br)n(O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncncc12,6.86,0.3
CHEMBL1171238,4.67,O=C(CBr)N(c1ccccc1)S(=O)(=O)c1cc(Cl)sc1Cl,0.5,0.3
CHEMBL1171969,7,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)c(Cl)cc1Cl,1.53,0.42
CHEMBL1171972,4.31,Cc1ccc(NS(=O)(=O)c2cc(Cl)sc2Cl)cc1,0.15,0.33
CHEMBL1172129,6.1,Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(Cl)c(Cl)c1,1.34,0.42
CHEMBL1172329,4.98,Cc1ccc(N(SC(Cl)(Cl)Cl)S(=O)(=O)c2cc(Cl)sc2Cl)cc1,-1.55,0.3
CHEMBL1203920,6.82,Cl.OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,14.39,0.27
CHEMBL1222044,,NC(=O)c1sc2c([N+](=O)[O-])cc(SC(F)(F)F)cc2[n+]1[O-],,
CHEMBL122264,5,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,0.94,0.28
CHEMBL1230169,6.47,CC(C)c1n[nH]cc1-c1ccnc(NC2CCN(C)CC2)n1,3.97,0.4
CHEMBL1230170,5.2,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,2.01,0.25
CHEMBL1230607,7.22,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,4.91,0.38
CHEMBL1234593,4.04,CC(C)c1nc2c(OCC3CCCCC3)nc(N)nc2[nH]1,1.01,0.26
CHEMBL1234833,7.48,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12,5.89,0.36
CHEMBL1242367,,CCNc1cc(N[C@H]2CC[C@@H](O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1,,
CHEMBL1242973,6.22,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1,2.63,0.27
CHEMBL1242973,6.22,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1,2.63,0.27
CHEMBL1269112,5.57,Cc1n[nH]cc1-c1ccnc(NC2CCCC2)n1,3.04,0.42
CHEMBL1269113,5.48,Cc1n[nH]cc1-c1ccnc(NC2CCCCC2)n1,2.56,0.39
CHEMBL1271509,5.52,Cc1cnc(NC2CCN(C)CC2)nc1-c1c[nH]nc1C(C)C,2.72,0.33
CHEMBL1271510,,Cc1[nH]nc(C(C)C)c1-c1ccnc(NC2CCN(C)CC2)n1,,
CHEMBL1271511,5.6,CC(C)c1n[nH]cc1-c1nc(NC2CCN(C)CC2)ncc1Br,2.34,0.33
CHEMBL1271563,5.76,CC(C)c1n[nH]c(Br)c1-c1ccnc(NC2CCN(C)CC2)n1,2.5,0.34
CHEMBL1271564,5.25,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,2.71,0.27
CHEMBL1271620,7.15,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cc2)n1,4.01,0.36
CHEMBL1271621,5.97,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccccn2)n1,2.84,0.39
