Compound_id,pChEMBL Value,smiles
CHEMBL103667,,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
CHEMBL1080994,,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(S(=O)(=O)N3CCN(C)CC3)c2)ccc2[nH]ccc12
CHEMBL1080995,,Cc1ncc(C#N)c(Nc2ccc3[nH]ccc3c2C)c1/C=C/c1cccc(S(=O)(=O)N2CCN(C)CC2)c1
CHEMBL1086811,6.71,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(Cl)cc2/C1=N/O
CHEMBL1088704,7.89,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N/O
CHEMBL1091356,,CC(C)N1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1
CHEMBL1094408,6.8,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2
CHEMBL1096380,5,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O
CHEMBL112050,6.36,CN1CCC(c2c(O)cc(O)c3c(=O)cc(Sc4ccccc4)oc23)C(O)C1
CHEMBL112582,7.1,CN1CCC(c2c(O)cc(O)c3c(=O)cc(SC(C)(C)C)oc23)C(O)C1
CHEMBL114250,4.12,CC(C)Oc1[nH]c(N)nc2ncnc1-2
CHEMBL114250,4.12,CC(C)Oc1[nH]c(N)nc2ncnc1-2
CHEMBL115498,5.22,Nc1nc(OCC2CC=CCC2)c2[nH]cnc2n1
CHEMBL115498,5.22,Nc1nc(OCC2CC=CCC2)c2[nH]cnc2n1
CHEMBL1170012,4.6,Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1
CHEMBL1170818,5.02,NC(=O)c1c(Br)n(O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncncc12
CHEMBL1171238,4.67,O=C(CBr)N(c1ccccc1)S(=O)(=O)c1cc(Cl)sc1Cl
CHEMBL1171969,7,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)c(Cl)cc1Cl
CHEMBL1171972,4.31,Cc1ccc(NS(=O)(=O)c2cc(Cl)sc2Cl)cc1
CHEMBL1172129,6.1,Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(Cl)c(Cl)c1
CHEMBL1172329,4.98,Cc1ccc(N(SC(Cl)(Cl)Cl)S(=O)(=O)c2cc(Cl)sc2Cl)cc1
CHEMBL1203920,6.82,Cl.OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
CHEMBL1222044,,NC(=O)c1sc2c([N+](=O)[O-])cc(SC(F)(F)F)cc2[n+]1[O-]
CHEMBL122264,5,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
CHEMBL1230169,6.47,CC(C)c1n[nH]cc1-c1ccnc(NC2CCN(C)CC2)n1
CHEMBL1230170,5.2,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1230607,7.22,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
CHEMBL1234593,4.04,CC(C)c1nc2c(OCC3CCCCC3)nc(N)nc2[nH]1
CHEMBL1234833,7.48,CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12
CHEMBL1242367,,CCNc1cc(N[C@H]2CC[C@@H](O)CC2)nc(Nc2ccc3c(ccn3Cc3ccccc3)c2)n1
CHEMBL1242973,6.22,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1
CHEMBL1242973,6.22,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1
CHEMBL1269112,5.57,Cc1n[nH]cc1-c1ccnc(NC2CCCC2)n1
CHEMBL1269113,5.48,Cc1n[nH]cc1-c1ccnc(NC2CCCCC2)n1
CHEMBL1271509,5.52,Cc1cnc(NC2CCN(C)CC2)nc1-c1c[nH]nc1C(C)C
CHEMBL1271510,,Cc1[nH]nc(C(C)C)c1-c1ccnc(NC2CCN(C)CC2)n1
CHEMBL1271511,5.6,CC(C)c1n[nH]cc1-c1nc(NC2CCN(C)CC2)ncc1Br
CHEMBL1271563,5.76,CC(C)c1n[nH]c(Br)c1-c1ccnc(NC2CCN(C)CC2)n1
CHEMBL1271564,5.25,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271620,7.15,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cc2)n1
CHEMBL1271621,5.97,CC(C)c1n[nH]cc1-c1ccnc(Nc2ccccn2)n1
CHEMBL1271622,,Cc1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271670,5.27,FC(F)(F)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271671,4.82,c1cc(-c2c[nH]nc2C2CC2)nc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271724,,CC(C)(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271725,,Fc1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCNCC4)cn3)n2)cc1
CHEMBL1271784,,Cc1[nH]nc(C(C)C)c1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1
CHEMBL1271842,5.46,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNCC3)nn2)n1
CHEMBL1271843,5.5,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2cnc(N3CCNCC3)cn2)n1
CHEMBL1271898,5.15,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(C3CCNCC3)cn2)n1
CHEMBL1271899,5.51,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cn2)n1
CHEMBL1271953,5.06,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(CCO)CC3)cn2)n1
CHEMBL1271954,4.96,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@@H](C)C3)cn2)n1
CHEMBL1272010,5.08,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@H](C)C3)cn2)n1
CHEMBL1272011,4.99,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNC(C)(C)C3)cn2)n1
CHEMBL1272065,4.85,CC1CN(c2ccc(Nc3nccc(-c4c(C(C)C)n[nH]c4Cl)n3)nc2)CC(C)N1
CHEMBL1272066,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@@H](C)C3)cn2)n1
CHEMBL1272115,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@H](C)C3)cn2)n1
CHEMBL1272116,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1
